iter	Accuracy	Logloss
0	0.6280701754	0.6921891938
1	0.7157894737	0.6895391028
2	0.7438596491	0.6879600745
3	0.7719298246	0.6857963492
4	0.849122807	0.6803338849
5	0.8701754386	0.6779307333
6	0.8771929825	0.6759945151
7	0.8842105263	0.6746870701
8	0.8842105263	0.6723013377
9	0.8877192982	0.6693996742
10	0.8947368421	0.6678318392
11	0.898245614	0.6662060794
12	0.9122807018	0.6649398515
13	0.9157894737	0.6606398209
14	0.9087719298	0.6564983815
15	0.9087719298	0.6530665079
16	0.9087719298	0.6523258642
17	0.9192982456	0.6468352902
18	0.9263157895	0.6415696735
19	0.9228070175	0.6365896523
20	0.9298245614	0.6353728725
21	0.9403508772	0.6323251683
22	0.9578947368	0.6309881036
23	0.9543859649	0.6297954703
24	0.9649122807	0.6281861295
25	0.950877193	0.6273246038
26	0.9578947368	0.6266451966
27	0.9649122807	0.625807012
28	0.9578947368	0.6221919343
29	0.9473684211	0.6193246853
30	0.950877193	0.6152769621
31	0.9543859649	0.6129349847
32	0.9543859649	0.6113026097
33	0.9543859649	0.6104439892
34	0.950877193	0.606772767
35	0.9473684211	0.6045816042
36	0.9438596491	0.6030285057
37	0.9473684211	0.6010361202
38	0.9438596491	0.6001825794
39	0.9438596491	0.5988362347
40	0.9403508772	0.5954691967
41	0.9473684211	0.5948104615
42	0.9473684211	0.5935090623
43	0.9473684211	0.5923918368
44	0.9473684211	0.5911625013
45	0.9543859649	0.5894722665
46	0.9403508772	0.5874011458
47	0.9438596491	0.5867433239
48	0.9473684211	0.5844871292
49	0.950877193	0.583262135
50	0.9438596491	0.5802965919
51	0.9543859649	0.5790437609
52	0.950877193	0.5771136637
53	0.9543859649	0.5749931277
54	0.9543859649	0.5746049294
55	0.9578947368	0.5734707032
56	0.9578947368	0.5725640068
57	0.950877193	0.5706111981
58	0.950877193	0.5696307578
59	0.9684210526	0.5684431783
60	0.9614035088	0.5669383687
61	0.9649122807	0.5634107038
62	0.9649122807	0.5618738845
63	0.9649122807	0.5610658597
64	0.9578947368	0.5604835323
65	0.9649122807	0.5595314749
66	0.9649122807	0.5579864646
67	0.9649122807	0.5574271897
68	0.9578947368	0.5557858296
69	0.9649122807	0.5541316291
70	0.9614035088	0.5533470055
71	0.9614035088	0.5516770366
72	0.9614035088	0.5501685863
73	0.9614035088	0.5488182296
74	0.9684210526	0.5478006411
75	0.9719298246	0.5461094898
76	0.9719298246	0.5431416606
77	0.9754385965	0.5400824331
78	0.9754385965	0.5392442587
79	0.9754385965	0.5383660489
80	0.9754385965	0.5371474975
81	0.9754385965	0.5344974346
82	0.9754385965	0.5338981825
83	0.9719298246	0.5324073068
84	0.9754385965	0.5307674695
85	0.9684210526	0.5295556252
86	0.9684210526	0.5286375839
87	0.9719298246	0.5254142131
88	0.9719298246	0.5225028796
89	0.9719298246	0.5217460877
90	0.9754385965	0.5212151351
91	0.9719298246	0.5208422436
92	0.9684210526	0.5196888229
93	0.9649122807	0.5182464725
94	0.9719298246	0.5165308572
95	0.9754385965	0.5152422328
96	0.9789473684	0.5147020289
97	0.9789473684	0.5132237582
98	0.9754385965	0.5122356776
99	0.9719298246	0.5115201548
100	0.9754385965	0.5104989468
101	0.9754385965	0.5098991399
102	0.9789473684	0.5069849398
103	0.9754385965	0.505632109
104	0.9754385965	0.5046621914
105	0.9789473684	0.5022267823
106	0.9789473684	0.4988383003
107	0.9824561404	0.497867094
108	0.9824561404	0.4959705657
109	0.9824561404	0.4943490832
110	0.9824561404	0.4930631067
111	0.9824561404	0.4919545883
112	0.9824561404	0.4912036557
113	0.9824561404	0.4905384991
114	0.9824561404	0.4902418016
115	0.9824561404	0.4893297314
116	0.9789473684	0.4886350511
117	0.9789473684	0.4877389307
118	0.9789473684	0.4851262781
119	0.9789473684	0.4842539594
120	0.9824561404	0.4821555589
121	0.9824561404	0.480851805
122	0.9824561404	0.4800439416
123	0.9824561404	0.4793158399
124	0.9824561404	0.47841091
125	0.9824561404	0.4773906507
126	0.9824561404	0.4765744706
127	0.9824561404	0.4757077729
128	0.9824561404	0.4750599506
129	0.9824561404	0.4743832664
130	0.9824561404	0.4736637714
131	0.9824561404	0.470743842
132	0.9824561404	0.4703691408
133	0.9824561404	0.4694534979
134	0.9824561404	0.4690566008
135	0.9824561404	0.4682540035
136	0.9824561404	0.4675361623
137	0.9824561404	0.4667952701
138	0.9824561404	0.4657588488
139	0.9824561404	0.4647765976
140	0.9824561404	0.4635926522
141	0.9824561404	0.4635607698
142	0.9859649123	0.4631567701
143	0.9824561404	0.4608256741
144	0.9824561404	0.4585220553
145	0.9824561404	0.4575360866
146	0.9824561404	0.4553994111
147	0.9824561404	0.4546708857
148	0.9824561404	0.4532975674
149	0.9824561404	0.4525609117
150	0.9859649123	0.4511467175
151	0.9859649123	0.4499659889
152	0.9859649123	0.4496146056
153	0.9859649123	0.4486191434
154	0.9859649123	0.4477829002
155	0.9859649123	0.4470013638
156	0.9859649123	0.4447004814
157	0.9859649123	0.444011061
158	0.9859649123	0.4427954395
